Q,r1,r2,r3,r4,r5,r6,r7,r'1,r'2,r'3,r'4,r'5,r'6,r'7,q1,q2,q3,q4,q5,q6,q7,q'1,q'2,q'3,q'4,q'5,q'6,q'7,deltaq1,deltaq2,deltaq3,deltaq4,deltaq5,deltaq6,deltaq7,p6,p4,p3,p5,p2,p1,p'6,p'4,p'3,p'5,p'2,p'1,deltap6,deltap4,deltap3,deltap5,deltap2,deltap1,h1,h2,h3,h4,h5,h6,h7,h'1,h'2,h'3,h'4,h'5,h'6,h'7,deltah1,deltah2,deltah3,deltah4,deltah5,deltah6,deltah7,r0,delta_r0,ei
20.100419,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.408158,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.100419,10.139355,9.961064,8.067104,2.072251,12.033315,20.100419,0.042966,0.110674,-0.067708,0.044233,0.066441,-0.001267,0.042966,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.021724,-349.955673,-296.277876,-601.344127,-151.510068,0.000000,-0.001658,2.059910,5.446808,2.112839,-0.647035,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.510068,144.767808,198.445606,305.053896,53.677798,251.388453,202.013424,0.647035,-6.093843,-2.706946,3.336118,3.386897,-0.052929,0.862714,1.500000,-0.091842,2.000000
20.123991,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.359032,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.123991,10.200090,9.923900,8.091605,2.108485,12.032385,20.123991,0.066538,0.171410,-0.104872,0.068734,0.102675,-0.002197,0.066538,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.020884,-348.833222,-293.261862,-600.182824,-151.865624,0.000000,-0.002498,3.182362,8.462822,3.274142,-1.002591,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.865624,141.396239,196.967598,306.909726,55.571360,251.349602,202.487498,1.002591,-9.465413,-4.184953,5.191948,5.280459,-0.091780,1.336788,1.500000,-0.140968,2.000000
20.064221,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.485332,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.064221,10.046111,10.018110,8.029801,2.016310,12.034420,20.064221,0.006768,0.017431,-0.010663,0.006930,0.010500,-0.000162,0.006768,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.023111,-351.689899,-300.871074,-603.124495,-150.964861,0.000000,-0.000271,0.325685,0.853610,0.332471,-0.101828,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,150.964861,149.906213,200.725038,302.239266,50.818826,251.434596,201.286481,0.101828,-0.955438,-0.427513,0.521488,0.527925,-0.006786,0.135771,1.500000,-0.014668,2.000000
20.128106,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.350545,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.128106,10.210696,9.917410,8.095900,2.114796,12.032206,20.128106,0.070653,0.182016,-0.111362,0.073029,0.108987,-0.002376,0.070653,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.020743,-348.637785,-292.733246,-599.979901,-151.927746,0.000000,-0.002639,3.377799,8.991437,3.477066,-1.064714,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.927746,140.805500,196.710039,307.235610,55.904539,251.342115,202.570329,1.064714,-10.056151,-4.442513,5.517832,5.613639,-0.099267,1.419619,1.500000,-0.149455,2.000000
20.096600,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.416200,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.096600,10.129516,9.967084,8.063150,2.066367,12.033450,20.096600,0.039147,0.100836,-0.061689,0.040279,0.060557,-0.001132,0.039147,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.021865,-350.138024,-296.764641,-601.532122,-151.452504,0.000000,-0.001516,1.877560,4.960043,1.924844,-0.589472,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.452504,145.312137,198.685520,304.754941,53.373383,251.394098,201.936672,0.589472,-5.549514,-2.467032,3.037163,3.082482,-0.047284,0.785962,1.500000,-0.083800,2.000000
20.061846,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.490471,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.061846,10.039994,10.021852,8.027368,2.012626,12.034478,20.061846,0.004393,0.011313,-0.006921,0.004497,0.006817,-0.000104,0.004393,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.023206,-351.804148,-301.170840,-603.241192,-150.929119,0.000000,-0.000176,0.211436,0.553844,0.215774,-0.066087,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,150.929119,150.241721,200.875029,302.056075,50.633309,251.437044,201.238826,0.066087,-0.619931,-0.277523,0.338297,0.342408,-0.004338,0.088116,1.500000,-0.009529,2.000000
20.090707,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.428656,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.090707,10.114333,9.976373,8.057056,2.057277,12.033650,20.090707,0.033254,0.085653,-0.052399,0.034185,0.051467,-0.000932,0.033254,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.022086,-350.419731,-297.514871,-601.822183,-151.363685,0.000000,-0.001296,1.595853,4.209812,1.634783,-0.500652,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.363685,146.151187,199.056047,304.294484,52.904860,251.402452,201.818246,0.500652,-4.710464,-2.096505,2.576706,2.613959,-0.038930,0.667536,1.500000,-0.071344,2.000000
20.106061,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.396319,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.106061,10.153892,9.952170,8.072954,2.080938,12.033108,20.106061,0.048609,0.125211,-0.076603,0.050083,0.075128,-0.001474,0.048609,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.021518,-349.686503,-295.557716,-601.066283,-151.595141,0.000000,-0.001864,2.329081,6.166968,2.390683,-0.732108,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.595141,143.962575,198.091362,305.496484,54.128787,251.379780,202.126854,0.732108,-6.899076,-3.061189,3.778706,3.837887,-0.061602,0.976144,1.500000,-0.103681,2.000000
20.084077,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.442736,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.084077,10.097254,9.986822,8.050214,2.047041,12.033863,20.084077,0.026624,0.068574,-0.041950,0.027343,0.041231,-0.000719,0.026624,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.022337,-350.737035,-298.357347,-602.148364,-151.263801,0.000000,-0.001045,1.278549,3.367337,1.308602,-0.400768,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.263801,147.093546,199.473234,303.777863,52.379689,251.411329,201.685067,0.400768,-3.768105,-1.679317,2.060085,2.088788,-0.030053,0.534358,1.500000,-0.057264,2.000000
20.119324,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.368688,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.119324,10.188066,9.931259,8.086742,2.101324,12.032582,20.119324,0.061871,0.159385,-0.097514,0.063871,0.095514,-0.001999,0.061871,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.021046,-349.055000,-293.860474,-600.412838,-151.795205,0.000000,-0.002336,2.960584,7.864210,3.044128,-0.932172,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.795205,142.065269,197.259795,306.540910,55.194526,251.357839,202.393607,0.932172,-8.796383,-3.892757,4.823132,4.903626,-0.083544,1.242897,1.500000,-0.131312,2.000000
